data,value
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.1
21,128.6
21,128.6
21,128.6
21,128.6
21,128.6
21,128.6
21,128.6
21,128.6
21,128.6
21,128.6
21,128.6
21,128.6
21,129.2
21,129.2
21,129.2
21,129.2
21,129.2
21,129.2
21,129.8
21,129.8
21,129.8
21,129.8
21,129.8
21,129.8
21,130.2
21,130.2
21,130.2
21,130.2
21,130.2
21,130.2
21,130.8
21,130.8
21,130.8
21,130.8
21,130.8
21,130.8
21,130.8
21,130.8
21,130.8
21,130.8
21,130.8
21,130.8
21,130.8
21,130.8
21,130.9
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.6
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.5
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.0
21,130.5
21,130.5
21,130.5
21,130.5
21,130.5
21,130.5
21,130.5
21,130.5
21,130.5
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,129.9
21,129.9
21,129.9
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.4
21,129.4
21,129.4
21,129.4
21,129.4
21,129.4
21,129.4
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,129.9
21,130.5
21,130.5
21,130.5
21,130.5
21,130.5
21,131.0
21,131.0
21,131.0
21,131.0
21,131.0
21,131.0
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,130.1
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.5
21,131.2
21,131.2
21,130.9
21,130.9
21,130.9
21,130.9
21,130.9
21,130.9
21,130.9
21,130.9
21,130.9
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.4
21,130.1
21,130.1
21,130.1
21,129.8
21,129.8
21,129.8
21,129.8
21,129.8
21,129.8
21,129.8
21,129.8
21,129.8
21,129.8
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
21,129.3
